LON,LAT
142.57,-10.77
142.63,-10.81
142.59,-10.88
142.58,-10.93
142.74,-11.07
142.8,-11.17
142.82,-11.27
142.86,-11.36
142.87,-11.49
142.87,-11.69
142.89,-11.88
142.95,-11.94
143.01,-11.97
143.09,-11.98
143.2,-12.01
143.17,-12.13
143.12,-12.22
143.12,-12.28
143.13,-12.36
143.21,-12.41
143.27,-12.45
143.31,-12.55
143.42,-12.69
143.42,-12.79
143.47,-12.9
143.53,-13.14
143.55,-13.35
143.6,-13.49
143.57,-13.79
143.61,-13.91
143.66,-14.01
143.72,-14.21
143.77,-14.39
143.84,-14.44
143.98,-14.5
144.12,-14.43
144.22,-14.34
144.33,-14.32
144.48,-14.27
144.6,-14.4
144.66,-14.53
144.92,-14.71
145.07,-14.83
145.19,-14.89
145.29,-14.98
145.28,-15.07
145.26,-15.13
145.28,-15.24
145.3,-15.36
145.28,-15.51
145.36,-15.73
145.38,-15.91
145.46,-16.09
145.46,-16.27
145.44,-16.33
145.43,-16.44
145.5,-16.56
145.56,-16.65
145.64,-16.75
145.76,-16.91
145.84,-16.94
145.92,-16.94
145.91,-17.1
146.05,-17.4
146.13,-17.66
146.08,-18
146.03,-18.19
146.03,-18.29
146.22,-18.53
146.33,-18.57
146.31,-18.68
146.3,-18.86
146.38,-18.99
146.48,-19.09
146.59,-19.15
146.69,-19.2
146.83,-19.25
147,-19.27
147.09,-19.35
147.14,-19.41
147.27,-19.43
147.34,-19.41
147.41,-19.39
147.47,-19.43
147.5,-19.49
147.58,-19.63
147.74,-19.78
147.85,-19.8
147.91,-19.88
148,-19.9
148.07,-19.91
148.18,-19.96
148.36,-20.1
148.52,-20.12
148.59,-20.15
148.75,-20.3
148.81,-20.37
148.87,-20.49
148.79,-20.5
148.72,-20.47
148.67,-20.59
148.78,-20.74
148.9,-20.85
149.05,-20.96
149.19,-21.13
149.23,-21.25
149.26,-21.3
149.31,-21.48
149.44,-21.58
149.44,-21.76
149.51,-22.02
149.58,-22.25
149.63,-22.32
149.69,-22.44
149.75,-22.42
149.8,-22.38
149.9,-22.5
149.95,-22.54
149.99,-22.52
149.92,-22.3
149.96,-22.18
150,-22.16
150.06,-22.16
150.12,-22.26
150.21,-22.37
150.38,-22.46
150.52,-22.55
150.56,-22.55
150.54,-22.48
150.55,-22.38
150.6,-22.36
150.65,-22.41
150.74,-22.57
150.76,-22.9
150.76,-23.17
150.82,-23.45
150.91,-23.52
150.96,-23.59
151.06,-23.68
151.13,-23.77
151.21,-23.81
151.47,-24
151.55,-24.02
151.66,-24.02
151.8,-24.11
151.87,-24.19
152.02,-24.48
152.1,-24.58
152.25,-24.68
148.99,-20.23
148.97,-20.16
148.92,-20.29
148.97,-20.31
149.01,-20.31
149.03,-20.3
149.03,-20.28
148.95,-20.05
148.92,-20.08
148.89,-20.11
148.87,-20.15
148.9,-20.16
148.92,-20.16
148.94,-20.14
146.28,-18.25
146.25,-18.24
146.23,-18.26
146.19,-18.27
146.1,-18.27
146.12,-18.31
146.19,-18.38
146.24,-18.47
146.3,-18.5
146.33,-18.47
146.34,-18.42
146.3,-18.34
151.2,-23.58
151.21,-23.52
151.19,-23.5
151.15,-23.5
151.12,-23.48
151.03,-23.45
151.01,-23.52
151.16,-23.73
151.21,-23.76
151.23,-23.75
151.27,-23.71
151.25,-23.66
150.46,-22.26
150.44,-22.3
150.47,-22.32
150.49,-22.32
150.53,-22.3
150.5,-22.22
150.47,-22.21
149.85,-22.15
149.87,-22.22
149.91,-22.19
149.91,-22.15
149.89,-22.05
149.86,-22.07
